ObjectName,id,dish,displayName,description,ingredients,tier,tastes,category
Croquette,croquette,Croquette,고로케,"퐁실하게 으깬 감자를 동그랗게 빚어 황금빛으로 튀긴 음식! 겉은 바삭하고, 속은 구름처럼 부드러워요.","{""value"":[{""grocery"":1,""amount"":2},{""grocery"":6,""amount"":2},{""grocery"":9,""amount"":1}]}",4,Clean,StreetSnack
Sandwich,sandwich,Sandwich,반미 샌드위치,반미 샌드위치가 쌀로 만든 게 아니라는 사실 알고 계셨어요? “미”자가 들어가는데 왜 쌀이 아닌거야?,"{""value"":[{""grocery"":0,""amount"":2},{""grocery"":2,""amount"":2},{""grocery"":7,""amount"":1},{""grocery"":10,""amount"":1}]}",4,SpicyAndSour,AsianFood
Taco,taco,Taco,타코,옥수수로 만든 노릇노릇한 또띠아에 불향을 잔뜩 입힌 양고기와 야채를 담았어요. 우노 도스 뜨레스 꽈뜨로!,"{""value"":[{""grocery"":4,""amount"":2},{""grocery"":8,""amount"":2},{""grocery"":9,""amount"":2}]}",4,SpicyAndSour,StreetSnack
Hamburger,hamburger,Hamburger,햄버거,"야채에, 고기에, 빵까지 들어간 완전 식품을 왜 패스트푸드나 정크푸드라고 부르는 건지 잘 모르겠어요.","{""value"":[{""grocery"":3,""amount"":2},{""grocery"":5,""amount"":2},{""grocery"":7,""amount"":1},{""grocery"":10,""amount"":1}]}",4,Salty,WesternDine
Pho,pho,Pho,쌀국수,고수 싫어요? 고수 먹어봐요. 고수 맛있어요. 고수 더 주세요.,"{""value"":[{""grocery"":0,""amount"":3},{""grocery"":5,""amount"":1},{""grocery"":7,""amount"":1}]}",3,SpicyAndSour,AsianFood
LambSoup,lamb_soup,LambSoup,양고기 스프,"양파, 양상추, 양고기.. 양 가문 삼형제 같은데 감자는 왜 눈치 없이 재료 목록에 들어와있는 걸까요?","{""value"":[{""grocery"":4,""amount"":1},{""grocery"":6,""amount"":1},{""grocery"":7,""amount"":1},{""grocery"":8,""amount"":1}]}",3,Salty,WesternDine
LambPie,lamb_pie,LambPie,양고기 파이,양고기와 감자를 다져 파이 반죽에 넣고 오븐에 한참 구워봤어요. 빵과 고기 냄새가 주방을 가득 채워요!,"{""value"":[{""grocery"":3,""amount"":2},{""grocery"":6,""amount"":1},{""grocery"":8,""amount"":1}]}",3,Salty,WesternDine
PotatoNoodle,potato_noodle,PotatoNoodle,감자 국수,포슬포슬한 감자를 잔뜩 갈아 넣어 반죽한 수제 감자 국수입니다. 맑고 담백한 국물에 마음까지 녹아내려요.,"{""value"":[{""grocery"":2,""amount"":1},{""grocery"":1,""amount"":1},{""grocery"":6,""amount"":2}]}",3,Clean,AsianFood
FriedChicken,fried_chicken,FriedChicken,후라이드 치킨,겉바속촉의 악마가 있다면 이 메뉴겠죠? 양념 소스와 무는 없습니다! 아.. 제로 콜라에 한 입하고 싶다. ,"{""value"":[{""grocery"":2,""amount"":2},{""grocery"":3,""amount"":1}]}",2,Salty,StreetSnack
Meatloaf,meatloaf,Meatloaf,미트로프,"든든한 고기가 먹고 싶은 날, 육식파 손님의 마음을 사로잡는 메뉴! 고기는 솜주먹으로 다졌답니다.","{""value"":[{""grocery"":1,""amount"":2},{""grocery"":3,""amount"":2},{""grocery"":5,""amount"":1}]}",2,Clean,WesternDine
MeatCurry,meat_curry,MeatCurry,소고기 카레,소고기만 건져 먹으려는 요리 직원을 간신히 말려야 할 정도로 맛있는 냄새가 나는 요리. 양파도 들어갔어요.,"{""value"":[{""grocery"":0,""amount"":2},{""grocery"":4,""amount"":1},{""grocery"":5,""amount"":1}]}",2,SpicyAndSour,AsianFood
OnionBagel,onion_bagel,OnionBagel,양파 베이글,오븐에서 갓 구운 베이글에 양파의 달콤한 풍미를 넣어봤어요! 꼬리가 흥얼대는 향기와 맛이랍니다.,"{""value"":[{""grocery"":3,""amount"":2},{""grocery"":4,""amount"":1}]}",2,Clean,StreetSnack
ChickenPorridge,chicken_porridge,ChickenPorridge,닭죽,아프거나 기운이 빠진 날에 빠질 수 없는 메뉴. 급하게 먹으면 혀를 데일 수 있어요!,"{""value"":[{""grocery"":0,""amount"":1},{""grocery"":1,""amount"":1},{""grocery"":2,""amount"":1}]}",1,Clean,AsianFood
VegetableGimbap,vegetable_gimbap,VegetableGimbap,야채 김밥,농장의 신선함을 한 입에 쏙! 단골 소풍 메뉴를 만나보세요. 꼬다리는 셰프가 한 입 했어요~,"{""value"":[{""grocery"":0,""amount"":2},{""grocery"":1,""amount"":1}]}",1,Clean,AsianFood
CarrotSalad,carrot_salad,CarrotSalad,당근 샐러드,토끼만 좋아할 거란 편견을 버리세요! 방금 톱니 트랙터로 텃밭에서 갈아온 당근은 암수노소 모두 좋아한답니다.,"{""value"":[{""grocery"":1,""amount"":2}]}",0,SpicyAndSour,StreetSnack
